,tweet
67,"Litbang Kompas juga merilis survei skema capres alternatif berdasarkan pemilih Anies, Ganjar dan Prabowo (Januari 2023). Pemilih Anies Baswedan : Tidak Tahu: 24,7% ; Prabowo Subianto: 17,7% ; Ridwan Kamil: 16,5% ; Ganjar Pranowo: 13,3% ; Agus Harimurti Y. : 8,9% #BersamaJuara"
68,"Puan Maharani: 1,5% ; Airlangga Hartarto: 0,8% ; Mahfud Md: 0,7% ; Hary Tanoesoedibyo: 0,5% ; Khofifah Indar Parawansa: 0,5% ; Surya Paloh: 0,5% ; Basuki Tjahaja Purnama: 0,5% ; Lainnya: 2,2% ; Tidak Tahu/tidak jawab: 45,9%. #BersamaJuara Ridwan Kamil"
69,"Berikut elektabilitas capres alternatif selain Anies, Ganjar dan Prabowo, periode survei Litbang Kompas Januari 2023: Ridwan Kamil: 22,7% ; Sandiaga Salahuddin Uno: 7,3% ; Agus Harimurti Y. : 5,8 % ; Erick Thohir: 4,5% ; Tri Rismaharini: 4,3% ; Andika Perkasa: 2,3%. #BersamaJuara"
70,"Selain itu, melejitnya sosok Ridwan Kamil sebagai capres alternatif juga sesuai dengan keberhasilannya mempertahankan elektabilitas pada posisi keempat yang terus membayangi tiga capres potensial teratas. #BersamaJuara Ridwan Kamil"
71,"Ridwan Kamil disebut mendapatkan peralihan dukungan yang cukup besar dari pendukung Anies, Ganjar, maupun Prabowo dalam skema keterpilihannya sebagai figur alternatif. #BersamaJuara Ridwan Kamil"
72,"Ridwan Kamil berada di posisi puncak sosok capres alternatif, meraih tingkat keterpilihan 22,7 persen dan terpaut jauh dibandingkan dengan tokoh capres alternatif lainnya. Posisi kedua ditempati Sandiaga dengan elektabilitas 7,3% dan Agus Harimurti Yudhoyono 5,8%. #BersamaJuara"
73,"Beberapa nama yang muncul di antaranya Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Salahuddin Uno, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono, Menteri BUMN Erick Thohir hingga Menteri Sosial Tri Rismaharini. #BersamaJuara Ridwan Kamil"
74,"Dalam survei Litbang Kompas pada periode Januari 2023, tiga tokoh menguasai papan elektabilitas calon presiden yaitu Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan. Di sisi lain, muncul sederet figur lain yang dinilai layak didukung menjadi capres. #BersamaJuara Ridwan Kamil"
75,"Tingkat kepercayaan survei menggunakan metode ini mencapai 95 persen dengan margin of error penelitian +- 2,83 persen dalam kondisi penarikan sampel acak sederhana. Meskipun demikian, kesalahan di luar pemilihan sampel dimungkinkan terjadi. #BersamaJuara Ridwan Kamil"
76,"Litbang Kompas merilis hasil survei tentang calon presiden (capres) alternatif selain Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto. Gubernur Jawa Barat Ridwan Kamil unggul dominan di survei figur capres alternatif. #BersamaJuara"
77,Survei Litbang Kompas: Ridwan Kamil Dominan di Figur Capres Alternatif  https://t.co/GYuR4Dgx8R #BersamaJuara
